;retornos;var;es;market
30-10-2019;0.006252028;0.04457884;0.045684406;D1
31-10-2019;-0.003763021;0.04806867;0.049276213;D1
01-11-2019;-0.023594873;0.045760837;0.046900819;D1
04-11-2019;0.001032349;0.043032691;0.044094437;D1
05-11-2019;0.000542388;0.046345363;0.047502438;D1
06-11-2019;-0.000560141;0.042800994;0.043856317;D1
07-11-2019;-0.002473688;0.042329562;0.043371627;D1
08-11-2019;-0.00467989;0.041934858;0.0429658;D1
11-11-2019;-0.013544554;0.042006056;0.043039023;D1
12-11-2019;-1.89E-05;0.039632098;0.040598915;D1
13-11-2019;-0.012181259;0.043121387;0.044185869;D1
14-11-2019;0.005845929;0.039258029;0.040214545;D1
15-11-2019;-0.005283739;0.038882008;0.039828197;D1
18-11-2019;-0.002661458;0.043173518;0.04423948;D1
19-11-2019;0.006758765;0.042291466;0.043332476;D1
20-11-2019;0.009565756;0.0398173;0.040789242;D1
21-11-2019;0.006204139;0.041172321;0.04218192;D1
22-11-2019;0.004215485;0.040864966;0.041865987;D1
25-11-2019;-0.014973096;0.039048731;0.039999497;D1
26-11-2019;0.01251756;0.03941902;0.040379972;D1
27-11-2019;-0.007230403;0.039411045;0.040371777;D1
02-12-2019;0.013437689;0.038301811;0.039232123;D1
03-12-2019;-0.00306707;0.038252163;0.03918095;D1
04-12-2019;-0.001685871;0.038354278;0.039285361;D1
05-12-2019;-0.007617335;0.037667684;0.038580698;D1
06-12-2019;-0.010884978;0.037507439;0.038415732;D1
09-12-2019;0.012106526;0.037780409;0.038690503;D1
10-12-2019;0.000653768;0.037175046;0.03807474;D1
11-12-2019;-0.006304573;0.037116391;0.038010894;D1
12-12-2019;-0.013391743;0.036984661;0.03787932;D1
13-12-2019;-0.01490926;0.036833914;0.037723056;D1
16-12-2019;-0.009483643;0.036613244;0.037497866;D1
17-12-2019;-0.003066901;0.039102407;0.040054139;D1
18-12-2019;0.001158353;0.039259557;0.040216171;D1
19-12-2019;-0.002322902;0.038330738;0.039260266;D1
20-12-2019;0.012494014;0.038154103;0.03908046;D1
23-12-2019;-0.0111751;0.038827452;0.039771557;D1
26-12-2019;-0.016457557;0.040065954;0.041044825;D1
27-12-2019;0.006250149;0.040624148;0.04161824;D1
30-12-2019;-0.007548946;0.039569946;0.040535084;D1
31-12-2019;-0.012244536;0.039280215;0.040237262;D1
02-01-2020;-0.012750278;0.043777971;0.044861149;D1
03-01-2020;0.000238231;0.029003268;0.029904211;D1
06-01-2020;-0.017972205;0.040571966;0.041552406;D1
07-01-2020;0.006821481;0.041701722;0.042713986;D1
08-01-2020;-0.018406008;0.040249462;0.041221542;D1
09-01-2020;-0.007277209;0.038670792;0.039599561;D1
10-01-2020;0.00227457;0.040948616;0.041940083;D1
13-01-2020;-0.015810637;0.03868598;0.039615078;D1
14-01-2020;0.015250657;0.038847773;0.03978124;D1
15-01-2020;0.004116443;0.03860802;0.039534917;D1
16-01-2020;-0.00422397;0.038894306;0.039829082;D1
17-01-2020;-0.006089556;0.037429408;0.038324356;D1
21-01-2020;0.002507808;0.038495397;0.039419352;D1
22-01-2020;0.004287222;0.037505772;0.038402796;D1
23-01-2020;-0.001686853;0.037771441;0.038675617;D1
24-01-2020;0.005305544;0.037149752;0.038037119;D1
27-01-2020;0.00229147;0.037745368;0.038648807;D1
28-01-2020;-0.015105887;0.038808052;0.039740376;D1
29-01-2020;0.001309467;0.037258772;0.038149055;D1
30-01-2020;-0.007885583;0.036265619;0.037129235;D1
31-01-2020;0.0365122;0.039002679;0.039940314;D1
03-02-2020;-0.012867719;0.042363158;0.043393959;D1
04-02-2020;-0.009095645;0.048003743;0.04919692;D1
05-02-2020;0.005029464;0.045715195;0.046841651;D1
06-02-2020;-0.006061951;0.048121749;0.04931819;D1
07-02-2020;0.007278762;0.039677798;0.040634101;D1
10-02-2020;-0.021435374;0.045198444;0.046309894;D1
11-02-2020;0.013255894;0.041958478;0.042977973;D1
12-02-2020;-0.016528381;0.042542339;0.043578206;D1
13-02-2020;-0.00069551;0.035393604;0.036234;D1
14-02-2020;-0.001495592;0.042035239;0.043056847;D1
18-02-2020;-0.010829907;0.037677844;0.038579445;D1
19-02-2020;-0.009209922;0.041469175;0.042474947;D1
20-02-2020;0.007283368;0.036828244;0.037706937;D1
21-02-2020;0.02045228;0.039968038;0.040932188;D1
24-02-2020;-0.004499279;0.043477154;0.044539402;D1
25-02-2020;0.043227838;0.042710347;0.04375092;D1
26-02-2020;-0.01562632;0.050247061;0.051506407;D1
27-02-2020;0.027288655;0.061611175;0.063224437;D1
28-02-2020;-0.063991891;0.0669148;0.068702926;D1
02-03-2020;-0.05738266;0.068945348;0.070802059;D1
03-03-2020;0.048615775;0.068697804;0.070546058;D1
04-03-2020;-0.015609552;0.078172782;0.080352985;D1
05-03-2020;0.007069931;0.07613262;0.078239636;D1
06-03-2020;-0.025561137;0.072943495;0.074937981;D1
09-03-2020;-0.010746195;0.07134711;0.07328612;D1
10-03-2020;-0.025433977;0.068440088;0.070279542;D1
11-03-2020;0.008201716;0.066007969;0.067765581;D1
12-03-2020;0.034449243;0.060805689;0.062392678;D1
13-03-2020;-0.045315159;0.069388711;0.071260441;D1
16-03-2020;-0.007652511;0.069124808;0.070987537;D1
17-03-2020;-0.017724802;0.068255115;0.070088296;D1
18-03-2020;-0.046589948;0.064983646;0.066707184;D1
19-03-2020;0.012209835;0.064431012;0.066136264;D1
20-03-2020;0.077563178;0.058839393;0.060363465;D1
23-03-2020;0.029453075;0.066922691;0.068710969;D1
24-03-2020;-0.040460671;0.076745937;0.078874863;D1
25-03-2020;0.024848903;0.069607234;0.071486444;D1
26-03-2020;-0.0462359;0.086807499;0.089308269;D1
27-03-2020;0.02605673;0.094865692;0.097680138;D1
30-03-2020;-0.011866297;0.091920532;0.094618337;D1
31-03-2020;0.008169134;0.087838213;0.09037807;D1
01-04-2020;0.022996071;0.085141525;0.087579604;D1
02-04-2020;-0.022670381;0.101029623;0.104093803;D1
03-04-2020;0.003833505;0.091136404;0.093803639;D1
06-04-2020;-0.044080434;0.081988529;0.084308274;D1
07-04-2020;0.045273666;0.087943234;0.090487647;D1
08-04-2020;-0.009037694;0.092522315;0.095244676;D1
09-04-2020;0.005947511;0.082299584;0.08463138;D1
13-04-2020;-0.018465469;0.082871484;0.08522438;D1
14-04-2020;-0.021976123;0.082601347;0.084943957;D1
15-04-2020;-0.006304526;0.076852675;0.078985622;D1
16-04-2020;0.000755439;0.069737581;0.07162136;D1
17-04-2020;0.005604485;0.072729893;0.074716991;D1
20-04-2020;0.00563105;0.071674044;0.073624642;D1
21-04-2020;0.030104299;0.062272066;0.06390669;D1
22-04-2020;-0.006650922;0.067934623;0.069757187;D1
23-04-2020;0.002792467;0.071110218;0.073041199;D1
24-04-2020;-0.020565681;0.064367649;0.066071884;D1
27-04-2020;-0.005539337;0.059079551;0.06061279;D1
28-04-2020;0.022088432;0.059198349;0.060735148;D1
29-04-2020;-0.009564723;0.070206386;0.072107056;D1
30-04-2020;-0.012429237;0.060146775;0.061713105;D1
01-05-2020;-0.010813786;0.06678232;0.068566168;D1
04-05-2020;-0.012663618;0.069590246;0.071469054;D1
05-05-2020;-0.009850523;0.071903942;0.07386267;D1
06-05-2020;0.00175373;0.063143925;0.06480826;D1
07-05-2020;-0.000825918;0.067983309;0.069808438;D1
08-05-2020;-0.012937467;0.059380554;0.060922802;D1
11-05-2020;-0.022581026;0.059461753;0.061006206;D1
12-05-2020;0.021357108;0.054403893;0.055789529;D1
13-05-2020;0.01421159;0.064075629;0.065770878;D1
14-05-2020;-0.013918409;0.060158292;0.061725541;D1
15-05-2020;-0.022508452;0.068954268;0.070812246;D1
