;x
17-08-2021;0.001897758
18-08-2021;-0.022187303
19-08-2021;0.011113084
20-08-2021;0.002974601
23-08-2021;0.009234257
24-08-2021;0.001038757
25-08-2021;-0.009223685
26-08-2021;-0.00547648
27-08-2021;0.008416233
30-08-2021;0.026386005
31-08-2021;-0.005382947
01-09-2021;-0.001412969
02-09-2021;-0.001397079
03-09-2021;0.003082262
07-09-2021;0.011301266
08-09-2021;-0.011757283
09-09-2021;-0.009333649
10-09-2021;-0.039480011
13-09-2021;-0.005693845
14-09-2021;-0.014773769
15-09-2021;0.00461251
16-09-2021;0.002186791
17-09-2021;-0.017610712
20-09-2021;-0.005960874
21-09-2021;-0.004940967
22-09-2021;0.011056617
23-09-2021;0.001160612
24-09-2021;0.006836074
27-09-2021;0.000829832
28-09-2021;-0.006986676
29-09-2021;0.002038151
30-09-2021;-0.015930306
01-10-2021;0.005057107
04-10-2021;-0.016284748
05-10-2021;0.009308951
06-10-2021;0.018875513
07-10-2021;0.000390942
08-10-2021;-0.007489946
11-10-2021;0.004597329
12-10-2021;-0.012434953
13-10-2021;-0.000525216
14-10-2021;0.011263779
15-10-2021;0.005260358
18-10-2021;0.020859523
19-10-2021;0.011698102
20-10-2021;0.003557967
21-10-2021;0.00398822
22-10-2021;-0.008109891
25-10-2021;0.000506249
26-10-2021;-0.000936125
27-10-2021;-0.003822162
28-10-2021;0.018629204
29-10-2021;0.016968604
01-11-2021;0.001243521
02-11-2021;0.007475693
03-11-2021;0.00606086
04-11-2021;-0.004526588
05-11-2021;-0.004518269
08-11-2021;-0.007022185
09-11-2021;0.005083427
10-11-2021;-0.015476437
11-11-2021;-0.007142669
12-11-2021;0.009988398
15-11-2021;-0.002464553
16-11-2021;0.006211227
17-11-2021;0.017132558
18-11-2021;0.028235415
19-11-2021;0.016546896
22-11-2021;-0.003713666
23-11-2021;0.004445736
24-11-2021;0.005726471
29-11-2021;0.005823409
30-11-2021;0.031805645
01-12-2021;-0.017420907
02-12-2021;0.029715951
03-12-2021;-0.012589279
06-12-2021;0.004832477
07-12-2021;0.012721349
08-12-2021;0.017062929
09-12-2021;-0.001575222
10-12-2021;0.023653982
13-12-2021;-0.02912283
14-12-2021;-0.003839716
15-12-2021;0.024610808
16-12-2021;-0.039576461
17-12-2021;0.007880284
20-12-2021;0.01269496
21-12-2021;0.004854902
22-12-2021;0.014226306
23-12-2021;0.002612158
27-12-2021;0.017175647
28-12-2021;-0.003584992
29-12-2021;0.000560119
30-12-2021;-0.007546377
31-12-2021;-0.001854055
03-01-2022;0.022933073
04-01-2022;-0.015176341
05-01-2022;-0.025695487
06-01-2022;-0.002233522
07-01-2022;-0.00379811
10-01-2022;0.020889821
11-01-2022;0.014501831
12-01-2022;-0.003242825
13-01-2022;-0.016792114
14-01-2022;0.010481145
18-01-2022;-0.009901358
19-01-2022;-0.022193825
20-01-2022;-0.014211678
21-01-2022;-0.012845377
24-01-2022;0.015717226
25-01-2022;0.004991386
26-01-2022;-0.02366759
27-01-2022;-0.018792711
28-01-2022;0.026051299
31-01-2022;0.026976379
01-02-2022;0.000269748
02-02-2022;0.00627465
03-02-2022;-0.009493473
04-02-2022;0.003729293
07-02-2022;-0.006936665
08-02-2022;0.018101608
09-02-2022;-0.000687427
10-02-2022;-0.011948651
11-02-2022;-0.022309978
14-02-2022;0.008890192
15-02-2022;0.008515814
16-02-2022;0.002605706
17-02-2022;-0.010600865
18-02-2022;-0.013857037
22-02-2022;-0.004138879
23-02-2022;-0.033902581
24-02-2022;0.064768501
25-02-2022;0.005146008
28-02-2022;0.013502398
01-03-2022;-0.009572474
02-03-2022;0.010549202
03-03-2022;-0.011885479
04-03-2022;-0.00737845
07-03-2022;-0.024362849
08-03-2022;-0.0095525
09-03-2022;0.007274411
10-03-2022;-0.011724068
11-03-2022;-0.028043074
14-03-2022;-0.007106722
15-03-2022;0.026528188
16-03-2022;0.014613833
17-03-2022;0.013798823
18-03-2022;0.019898988
21-03-2022;0.009644858
22-03-2022;0.017927882
23-03-2022;0.012331308
24-03-2022;0.016245871
25-03-2022;0.002428632
28-03-2022;0.017634584
29-03-2022;0.011182711
30-03-2022;-0.004771423
31-03-2022;-0.016146083
01-04-2022;0.003139498
04-04-2022;0.02135338
05-04-2022;-0.015223909
06-04-2022;-0.003167991
07-04-2022;0.008739384
08-04-2022;-0.007631369
11-04-2022;-0.017304173
12-04-2022;-0.002587086
13-04-2022;0.017828462
14-04-2022;-0.032432304
18-04-2022;0.006877436
19-04-2022;0.012929675
20-04-2022;-0.00889677
21-04-2022;-0.014063713
22-04-2022;-0.026751621
25-04-2022;0.011363071
26-04-2022;-0.034908843
27-04-2022;0.003455945
28-04-2022;0.030259265
29-04-2022;-0.02683582
02-05-2022;0.009559521
03-05-2022;0.006070963
04-05-2022;0.04081579
