dts,jumps_1,jumps_2,jumps_3,jumps_4,jumps_5
21/03/2003,0.000264841992275556,0,0.000359093809784153,0,0.000223177800733653
24/03/2003,8.66895780173928e-05,-0,0,-0,0
25/03/2003,0.000114552335358307,0,-0,0,0
26/03/2003,6.92914175893768e-05,0,9.33014684060667e-05,0,0
27/03/2003,0,0,4.25124136757663e-05,-0,0
28/03/2003,0,0,0,0,-0
31/03/2003,0,0.000468852034048275,0,-0,0
01/04/2003,9.06907401068207e-05,0,-0,-0,0
02/04/2003,0.000140330532914827,0,-0,0,0
03/04/2003,0.000123571604312684,0,-0,-0,0
04/04/2003,0,0,0.000167558440989952,0,0
07/04/2003,-0,0.00020368722359718,0,-0,0
08/04/2003,0,0,0,0,0
09/04/2003,0.000161263295908271,0,-0,0,0.00100069412695264
11/04/2003,0,-0,-0,-0,-0
14/04/2003,6.79621435206402e-05,0,0,0,0
15/04/2003,0.000127940116907278,0.000267939928531521,0,0,0
16/04/2003,0.000715485709610861,0,0,0,-0
17/04/2003,0,0,-0,0,7.6190103997879e-05
21/04/2003,0,0.000459574611282226,0,-0,-0
22/04/2003,0,0,-0,-0,-0
23/04/2003,9.51833616312429e-05,0,0,-0,0
25/04/2003,-0,0,0,5.59588934505087e-05,0
28/04/2003,0,4.77907417457458e-05,0,0,0
29/04/2003,-0,6.02907702380737e-05,0,0,0
30/04/2003,0,7.71874499385275e-05,0,0,0
01/05/2003,0,0,-0,-0,0
02/05/2003,-0,0,0,0,0
05/05/2003,0,0,-0,0,0
06/05/2003,0.000319786245214273,0.000148659243915844,-0,0,0
07/05/2003,0,0,0,-0,0
08/05/2003,0,0,8.69833320964398e-05,0,0
09/05/2003,0,0,-0,0,9.82971191938837e-05
12/05/2003,-0,0,-0,2.42598277159467e-05,0
13/05/2003,0,0,0,0,3.00843839981126e-05
14/05/2003,0,0,0,0,-0
15/05/2003,0,0,0,-0,-0
16/05/2003,0,8.9897113471013e-05,0,2.56138182678204e-05,0
19/05/2003,0,0,0,-0,0
20/05/2003,0,0.000157939609975453,-0,-0,-0
21/05/2003,0.000108900182522906,-0,0,0,0
22/05/2003,8.60934625687738e-05,0,0,0,2.29792448675265e-05
23/05/2003,0,-0,0,2.56130564302896e-05,-0
27/05/2003,0.000274012068010549,0.00032616477794131,0,-0,0
28/05/2003,0.000325472519234419,0,0,-0,0
29/05/2003,0,-0,0.00101305124868134,0,0
30/05/2003,0,0,0.000199119127389692,3.60539736118131e-05,0
02/06/2003,0,0,0,0,-0
03/06/2003,0,0,0,0,0
04/06/2003,0,0,0,0,0.000112708961980644
05/06/2003,0.000271816164662856,0,0,2.6764031171679e-05,0
06/06/2003,0,0,-0,0,-0
09/06/2003,0.000276465660474957,0,0,0,0
10/06/2003,0,0,0,0,-0
11/06/2003,0.000257777638688347,0,-0,-0,0
12/06/2003,0.00023559670925544,-0,7.77275614223324e-05,-0,0
13/06/2003,0.000188144867645736,0,0.000343050170133003,0,0
